config,dataset,seed,params,train_samples,epochs,batch,lr,final_train_acc,final_val_acc,best_val_acc,best_val_loss,best_epoch,seconds
L2_b3_1e5,d90,33,12866922,900,25,16,0.0001,1.0,0.7250000238418579,0.7350000143051147,0.9605359435081482,25,58.0
L2_b5_1e2,d138,11,12947338,1380,25,16,0.0001,1.0,0.6899999976158142,0.7200000286102295,0.8740713596343994,16,81.5
L2_b5_1e2,d138,22,12947338,1380,25,16,0.0001,1.0,0.6800000071525574,0.7149999737739563,0.9108530282974243,8,81.5
L2_b5_1e2,d138,33,12947338,1380,25,16,0.0001,1.0,0.6850000023841858,0.7200000286102295,0.9312012195587158,8,81.4
L2_b5_1e2,d234,11,12947338,2340,25,16,0.0001,1.0,0.7300000190734863,0.7749999761581421,0.7318374514579773,7,123.7
L2_b5_1e2,d234,22,12947338,2340,25,16,0.0001,1.0,0.6899999976158142,0.7400000095367432,0.8920584917068481,7,123.5
L2_b5_1e2,d234,33,12947338,2340,25,16,0.0001,1.0,0.6850000023841858,0.75,0.8524215221405029,6,122.9
L2_b5_1e2,d90,11,12947338,900,25,16,0.0001,1.0,0.7300000190734863,0.75,0.8585432171821594,20,60.2
L2_b5_1e2,d90,22,12947338,900,25,16,0.0001,1.0,0.675000011920929,0.7149999737739563,1.0173875093460083,16,60.2
L2_b5_1e2,d90,33,12947338,900,25,16,0.0001,1.0,0.6949999928474426,0.7250000238418579,0.9626138210296631,11,60.4
L2_b5_1e3,d138,11,12947338,1380,25,16,0.0001,1.0,0.6899999976158142,0.7250000238418579,0.865681529045105,16,82.1
L2_b5_1e3,d138,22,12947338,1380,25,16,0.0001,1.0,0.6850000023841858,0.7049999833106995,0.9272019863128662,8,81.8
L2_b5_1e3,d138,33,12947338,1380,25,16,0.0001,1.0,0.6800000071525574,0.7149999737739563,0.9343389868736267,8,81.6
L2_b5_1e3,d234,11,12947338,2340,25,16,0.0001,1.0,0.7450000047683716,0.7649999856948853,0.7457725405693054,6,123.5
L2_b5_1e3,d234,22,12947338,2340,25,16,0.0001,1.0,0.6899999976158142,0.75,0.921069860458374,11,123.8
